# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Feb 09 16:31:59 GMT 2025 [seed=1739118718494]
# table.xml
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-2253.247091057927	-65.77754441627737	-2187.4695466416492	2.1587499764715985	9.373463246935158	1.0	1.0	1.0	-2187.4695466416492	0.0	-65.77754441629732
1000	-1568.9231558383653	-125.40984633196695	-1443.5133095063984	1.311838843053542	10.919045776588911	2.444293952396916	1.0	1.0	-1443.5133095063984	0.0	-124.51609002278853
2000	-1464.6209996027478	-126.12505832055739	-1338.4959412821904	1.0695433818316744	9.82368696627067	2.2361367334696496	1.0	1.0	-1338.4959412821904	0.0	-125.32030861622852
3000	-1347.5763377274163	-122.00838545833622	-1225.56795226908	0.9373452690208066	8.696025584574326	1.9025110874500435	1.0	1.0	-1225.56795226908	0.0	-121.36521081978762
4000	-1255.4690330244352	-104.08970304498295	-1151.3793299794522	0.589380860196726	6.725883823183416	1.4487971557056125	1.0	1.0	-1151.3793299794522	0.0	-103.71896938062483
5000	-1206.5596149558874	-105.39976114051068	-1101.1598538153767	0.4253350530211011	6.954186407243793	1.9359200940225294	1.0	1.0	-1101.1598538153767	0.0	-104.73917842627672
6000	-1128.2212111866322	-94.13908530975044	-1034.0821258768817	0.32144352413268945	5.882183473993733	1.5222515342169007	1.0	1.0	-1034.0821258768817	0.0	-93.71889479840303
7000	-1092.721340255233	-95.45115757015205	-997.270182685081	0.34609748215358044	6.007848348866313	1.5865667815907332	1.0	1.0	-997.270182685081	0.0	-94.98958514535734
8000	-1056.0918374966573	-91.07600005675667	-965.0158374399007	0.35938976771880315	5.593689022022166	1.0459491641770147	1.0	1.0	-965.0158374399007	0.0	-91.0310752925281
9000	-1031.7848797011254	-80.0996787819103	-951.6852009192152	0.3696527370547888	5.192184992366739	1.2039382217971957	1.0	1.0	-951.6852009192152	0.0	-79.91408074715973
10000	-1012.4011431726598	-83.39720904475624	-929.0039341279036	0.5528634156611026	5.995155959293109	1.1492632487557943	1.0	1.0	-929.0039341279036	0.0	-83.25808796096285
11000	-964.5113329998834	-71.80816516504089	-892.7031678348425	0.4671438140817904	4.98410206192675	1.215135268192792	1.0	1.0	-892.7031678348425	0.0	-71.61330976261934
12000	-888.5838460013179	-72.28202266727496	-816.3018233340429	0.3144208491846455	4.73664584725663	1.0635416503059358	1.0	1.0	-816.3018233340429	0.0	-72.22041814897538
13000	-820.9027832717778	-53.96163954767624	-766.9411437241016	0.27644914698266376	3.6987331525375367	0.559957212533141	1.0	1.0	-766.9411437241016	0.0	-54.541534452059054
14000	-794.1984228146767	-37.8221667824312	-756.3762560322456	0.32763861539396877	3.423851090456996	0.7448122601527861	1.0	1.0	-756.3762560322456	0.0	-38.11678987460593
15000	-787.1354045684286	-41.31029742792754	-745.8251071405011	0.20353454703365492	3.172127610121914	0.6446521053050958	1.0	1.0	-745.8251071405011	0.0	-41.74934190726706
16000	-790.6807105561406	-47.9449933782672	-742.7357171778734	0.3068430812508474	3.7371895301043163	0.7111811444528706	1.0	1.0	-742.7357171778734	0.0	-48.28582148572016
17000	-768.1002681316928	-36.349386494948604	-731.7508816367442	0.24467081627123816	3.2601810650548564	0.6701255284943349	1.0	1.0	-731.7508816367442	0.0	-36.74967672315292
18000	-779.3558185286187	-43.414552163889226	-735.9412663647295	0.2676312024803677	3.6286044030593168	0.7099592704229845	1.0	1.0	-735.9412663647295	0.0	-43.75709984010285
19000	-777.678420983891	-41.63651223999445	-736.0419087438966	0.2786919427789611	3.5926347049237353	0.7212368469860814	1.0	1.0	-736.0419087438966	0.0	-41.96329993775496
20000	-780.7112246593523	-39.802916609466386	-740.9083080498859	0.28045976350069035	3.5326907222314503	0.7129337030549954	1.0	1.0	-740.9083080498859	0.0	-40.141283455469946
21000	-792.52392339172	-49.700860147867196	-742.8230632438529	0.35475517699645887	4.1526274983069476	0.7824068632730843	1.0	1.0	-742.8230632438529	0.0	-49.9462405361101
22000	-790.464215827079	-46.877226073007186	-743.5869897540719	0.418716444132734	4.123611670594671	0.7182533178420264	1.0	1.0	-743.5869897540719	0.0	-47.208159034819055
23000	-778.3720073703658	-41.60270567379713	-736.7693016965687	1.015937646146809	4.886369444428926	0.7174572956497898	1.0	1.0	-736.7693016965687	0.0	-41.93474752519486
24000	-786.2188011158719	-51.43711041915245	-734.7816906967195	0.8023976414178006	4.976136195652285	0.9096394450990086	1.0	1.0	-734.7816906967195	0.0	-51.53181739133413
