# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Feb 09 16:31:59 GMT 2025 [seed=1739118718494]
# table.xml
state	table
0	"111010100110010100001111000010001010001110100000110000001100101101001000100011111101110001100"
1000	"101000001010001000110010011101001011000101110100100101101111001011100001000111001110101011110"
2000	"110101100101001110101001000001111011000110100000001111001010010110101000011000011001001110111"
3000	"101011010010101000011101001100000010001011100111001100100000111001011100010110011011110101101"
4000	"010010100110001010100000100000111000010011001000000011101000101111111100100011001000000010000"
5000	"111010101110000000000100010000011000100010000000000000011100000010010101001111000000001110011"
6000	"111011101110000000000000011000111000100010000000000000011000001010111010001111000000000110101"
7000	"111010101110000001100100011001011000000010001000100010011000011010011000001011100001000110000"
8000	"101011101110100001000001011001111000100010001000000010011000011111111010000111000000000010001"
9000	"101011001110110000001100011001011000100010000000001010010110001111110010001111000000001110001"
10000	"111001101110000000000000011000111000100110101001000000010000000011000000001110000000100011010"
11000	"101010101110000000100100011101011000100010100000110010011000001011101000000011000000001110010"
12000	"111010100110111000100000011000101000010010001000100010011000000010101100001011100001001010100"
13000	"111010101110011000000000010000011001110010000000000010011100000111111000101111000000001110001"
14000	"111010101110111000000000010000111000011010001000100010011000000111111000000110000001010110001"
15000	"111010101110101000000000010001011000100010000000000010010000001111111000100111100000010110001"
16000	"111011100110101000000001010001011000110010001000000010011000001011111010001111000000010110011"
17000	"111010100110111000000000011001011000110010001000000010010000001011111000001111100010010110000"
18000	"111011101110111000100000010001011000000010001000100010011000000010000000000011000000000110001"
19000	"111010100010111010000000011001011000100010001000000010011000001111111000001011000011000010001"
20000	"101010101110010000000001010001011000100010000000100010011000001101101010001111100110001111101"
21000	"111001100110111000000001010001011000100000000101101010011010000111101000001101101000000110001"
22000	"111000101110111000001100011100011010000000001001000000011010101110010001001111000010000010001"
23000	"110110000100110010110000100000000000000010001000001100001000111111110000010011000000100010011"
24000	"000010000110110110010111110011011000010001011110010000000010101111100000110101100010100111100"
25000	"101010001110000011000001011101001010110011101000000000111000000111100011001010100000000010001"
26000	"100010100110110000010001011000011000110100001000010001111000001011000001001001000101000010001"
27000	"100101111010100000101100101000001001001110000100101110000010100111000110011011011000000110000"
28000	"111011100010110000001000000000011000000001001000000000011000001110111000000110100000000110101"
29000	"110011110111011000110001110001001010110011100000100010000100011111100111101110000000001010000"
30000	"111011100110001010000000011001011000100010001000000010011000001111011000000011000001000111001"
31000	"111010100110101000000100010000101000000011000000100000011000001111110011001111000000000110001"
32000	"111010100110011000000100011000011001100010000000000000010000001111111001000111000011000110001"
33000	"111010100110111000000000001001001001100010100000000000011000000111111000000111100001001110001"
34000	"111110100110111000000100010001011000010010001000000010010000000011000000000011000001000010001"
35000	"111010101110011000100000011001011000101010001000000000011000001111011000000111000001000110001"
36000	"111000100110011010000000011001011000110010001000000100011000000010011001001011000001000110001"
37000	"011010110110111000000000011001011000100010000000100010001000001101101011000001100001000110000"
38000	"111010101011101001000000010001011000010011000000100110010000000100111000010110100000010010111"
39000	"111010100110001010000001010001111000000010001000000110001010001111110011100101000001010110001"
40000	"000110011110001010000000010100011001100001011010110111010110001110010000000111101011010110101"
41000	"111010100110011000000100010000111000100010001000000000010000001011101010000011000000010110001"
42000	"111010111110101000100000011001011000100010001000100000011000001110110000001111000000010110101"
43000	"111011101100011100001000010001011100000010001000001010011000000010011000000111000000000110001"
44000	"111011101010011000000000011000011010000000000000100000011000001010011000000111100000010010001"
45000	"111110101000010000000000010101101000101110001000110001110100101000001000000011010000001010010"
46000	"111010101110110000000110010010011010000000001000101000011000000111111000110111100000001010001"
47000	"111000110110010000001000010001111001100000001001001010111000010100101000000111000000000110010"
48000	"111010100110110000110000010000001000000010100000100000010000101010111000000011001000000110001"
49000	"111010100110110000000000010000011000100000001000100010010000001110111001000111100000000110001"
50000	"111000111100000110001100011101111011100011100000000111001101011101111000001100000000000001011"
51000	"111010100110010010000000011000011010100010101000000010010000001100111100001011000000001100001"
52000	"111010110110110000000000010001011000110010000001000010011000001001111010001111000010010110101"
53000	"111011011110010010010100011001111000111011000000100000011000000010110010000111001100100100101"
54000	"111011101110111000000000011001011000100010100001000010010000001000111000000111100001000110001"
55000	"101011001010110000000001001001011100110010000000000010011000001011010001011111000100011110001"
56000	"111011100110110000000000010001011000100010001000000010010000001111111000001111000010000110000"
57000	"001011100100010000000100011001011000111010000000000000010000010001100000001010001101000110001"
58000	"111011001101110010010000011001001000100010001000000010011101001010111001000100000001100110000"
59000	"111110110110111000000000010001101000100000001000010010010001101101011001010011000001000110001"
60000	"111011100110110000000001010000001000000010001000100010010000001010110001101111000100000110001"
61000	"111010111110111010000000010001011000100010000000000000011000001011101010100111100001001010001"
62000	"111010101110110010000000010001001000100000000000001010010000001111111001000111000001000111000"
63000	"111010101110100010000100010000011000110010000000000010011000000111111000000111000001000010001"
64000	"111010100110110000000100010000001000010010001000000010010000000011111000010011000010010110011"
65000	"110011111110111000000000000010011001100010000000000010001010010111101100011011010001001010110"
66000	"111010100110010000000100011001011000100010000001100010011000000011110001101011000000010110001"
67000	"111010101110001000100100011000011001000010001000001000011000001111101000000111000011000010000"
68000	"101010101100001000001000000011111000000010000000000100011000001110111000100111000110010010000"
69000	"111010100110011000000100010001011001000110001000000000011001001110110000000101100011000110001"
70000	"111010101100101010000101000001111001000010001011000010011000001110011100101111000101010010001"
71000	"011111110110111010000000000000011001110011000000000010011000001011100010001011000000000010101"
72000	"111011101110100000000001010001011001000010001000100000010100101111111001001111100001000111001"
73000	"111010100110100000100001011001011001100010001000100000011000101010101000001111000000000110100"
74000	"111000010110111000000000011000111000000110000000100010011010000111111001101111000010001110010"
75000	"111011101110011000000000011101011010100010001000000001010000101111111100001111000000000110010"
76000	"111011101110101000000000011000101010010010001000101010110110011110011001000111000010010110100"
77000	"000001100001000010011010100110000111010101010101101001010100001000000110010000000100110001100"
78000	"000110110101110001010111100000101010011000000110001000111001101000100010110001111101100000010"
79000	"101011000110011000011010010000111100010010011000000000011111001100111100011010000001001010001"
80000	"111011101110001000000000011001111000100010000000100010011000000110101100000011000000000111001"
81000	"111011100011001000001100011001011000110010001000100010011000001110000000010111100000010110101"
82000	"101010101111111000000100010001101001010010110000000000010000001011000010010010001000101110101"
83000	"111011000110101000100010110000011000100010001000001100010000000100011010000011001011101011001"
84000	"111011100110000010000010010001011000100010001000000010011000000010010001000011100001110111010"
85000	"111011100111111000000000010001011000100010001000000110010000000110111000000111000001000110001"
86000	"111011100110111010000000010001011000110010001000000010011000001111011000001111000010000010011"
87000	"111010101110101010000000010001111100100010101000000000011100001111010000100011100001000110001"
88000	"111010100110011000000000011000011001000010101001000010011000001011011000000111100000000110001"
89000	"111011101111110010000000010001101000110010001000001010010000001111111101000111000001000111001"
90000	"111010100110001000000000011001011000000010001000100010011000000011011000000011000001000110001"
91000	"111011110110111000000000011000011100100010001000000010011000001111111001000111100000100110001"
92000	"111010101110011000000100010001011000100010001001100010010000000111111000000110000000000110001"
93000	"111010101110110000000000010001001000100010000000000010010000000111111010001111001010000110001"
94000	"111010111110111000000000011001011000100010000000000010010000000111111000001011000000000110101"
95000	"111010101110111010000000010001011000100010001000100010011000001111101000000111100011000111001"
96000	"111010110110101010010001010001111000100010001100100011011000001111101001100111000000000100001"
97000	"111111101110111000000010010001011000101010001000000010010000001111111000000110000100000110101"
98000	"111010100110110000000000011000011001100010000000000010010000000011111000000001000000001110001"
99000	"111010100110001010100001011001111010100010001001100000010000000111011000001011100001000110001"
100000	"111010100110101000000000010001011000100010000000000010010000000111111000001011100010100110001"
101000	"111011101110110000000000011001011000100010000000000010011000000111111001000111100010000111101"
102000	"111011100110110000000000011001011000100010001000100010010000000011111000001111000000000110001"
103000	"111011100110110000101000010001011000100010001000000001011000000110101000001111000000010010010"
104000	"111011111110110000000000010000011000100010000001000010010000000011110100001111100001001010011"
105000	"111010110110110000000100011001110000110000000000000010010000001011101001001111000001000110000"
106000	"111010101110110000000000010000011000100010000000000010011000000011111000001011100000010100111"
107000	"111011100110111000000000011001011000100010001000000010010000000111110001000101000000000110001"
108000	"111011100110011000100000011001111001100010000000000010011100000011011000100101000001000110001"
109000	"111000100110001000100000011001111000100010001000000010001000001110111000001011010000010110001"
110000	"111011101001011010111000101010001011100010100001110010011100011000111111011000000111001100001"
111000	"111010101110001000000100010001011000110000000000000010010001000111101100101111000000010110001"
112000	"111011100110010000000000000000011000110010001000001000011000001110101000100111100001000110001"
113000	"111111100110010000000000010001011000100011001000000000010000000011110001001111000010001010001"
114000	"111011110110110000000000111000011000000010001000001010011100101000111001000111000000010110101"
115000	"111011101110110000000000011001011000110010000000100000011100001011111000000111000001100110011"
116000	"111011111110000010000100101000101000100010001000100010010000001110100010000111000001000010001"
117000	"111001100010000000001010010000111000100010001000100010011000000110101001000111000000010010101"
118000	"111011111110110010000000010001111000110010001000001000010000000011111000001111000000101010001"
119000	"111011101110010000000100011001001000110010001000000010011000001111001100001011000010000010011"
120000	"111010100110100000001101010001011000100000101001000010010000000111111000100110100000000110111"
121000	"111010100110110000000000010001001000110010001000100010011000000011111000001111000011000110001"
122000	"111010101110100000000000011001011000000010000000000010010000000111111000000111000011000010001"
123000	"111011101110111010000000011001011000000010100000000010011000001011011001000111100010000110001"
124000	"110010101110111000000010011001011000100010001000100010011000001111101001000110000010000010101"
125000	"011110101110000000000001000011010000100100011000100100111010001111111101001010000000010000100"
126000	"111010110110010010000001101000000000110110001000000000011010001011111000000111000010010100001"
127000	"111010101110000110100000011001001010000111001001110000000101000010111111000010000000000110011"
128000	"111010101110111000100001000001011000100010001000100010010000000111111000000111000001000110001"
129000	"111010101110101000000100010001111000110010001000000010010000001010111000000111000010010110111"
130000	"111010100110010000000000010001111000110010001000100010011010000010110011000011100001000110001"
131000	"111001100110010010000001010011011000100001001100000010010101000010111101101111000100000110100"
132000	"111010101010110000000010110000101010100000111000001110001110010011111010000010100000000110001"
133000	"111011100010111000110100011000111000100010001000100000010000101011110001101110000001000110111"
134000	"101010101010000000001111010000101000100000001000100011011000000111101000110011000000000110001"
135000	"011101000110010000000000010011101010101010011011001011010001101001010001000111100111000110011"
136000	"111010100110101000000110011001011100100010001000101010011000001011101001000011000000001110001"
137000	"110010100110111000000000010001011010100010001000000010011000000111001000000111000000001110001"
138000	"111011101110011000000100000001011000010010001000100000011000001111111001101011000001001110000"
139000	"111011100110111000000000011001011000100010000000000000011000000111011000001111100001001110001"
140000	"111011100110011000110000010001001010100010001000000010010000001010111000001001000000000110001"
141000	"111011111110011000000000011000011000100010001000000010010000001110111000000001000010010110011"
142000	"111010101110111000000000011000011000110010001000000010011000000110110000001111100000000110000"
143000	"111011100110111000000100000001111000101011001000000000010000000111011000001111100010000110001"
144000	"111011101110011000000100011000111000100010000000100000010000000111101001000111100000010110001"
145000	"011011100110000000000000000001011000100010000001100000011000001111011000001111100011000010001"
146000	"111011101110111000000010010011011000100010001000101010010000000111111101001110000001000110001"
147000	"111011111110010000100000010000011000100010001000000000011000000111101000001111000000000110001"
148000	"111010101110111000000000011001011000100010001000100010010000001111111100000111100000000110001"
149000	"111010110110111000000000010001011000100010001000000000010000001111111000000111000001000110001"
150000	"111011101110011000000001010001011000100010001000000100011000001110101001000111000000010110001"
151000	"111011101110011000000100011000111000100010001000100000010000000111101000000111000010000110011"
152000	"111011101110111000000100011000111000100010001000000000011000001110111001000111100010000110001"
153000	"111010100010001000000000010001011001110010001000000010011000001110101000000011100010000110001"
154000	"011010100110100000100000000001011000000010100000100001010000001110110000001111000010000110101"
155000	"101011100110010010000100010001111000000010001000000010011000100111111011001111000001000111000"
156000	"101010101010110010100010010001011001110010100001000010010000000111101001011111000010101100011"
157000	"111011101110001010101001010000011000110011001001100010011000011111011000000011000011100110000"
158000	"111011110110011000100101011000011001100010001000000010011000001010111000001011000000101110011"
159000	"110000010011010001010110000110010001001010100111100011100011000001111000000111000001101100110"
160000	"111011000110011010000000010001001000100010001000110000010000001001011100011100010000000010001"
161000	"111010100110011000000000010100001001110010001000100010011000101010011000011111000001001110010"
162000	"101000101110110010100000011001111000100000001000001010011000001111001100001010000000100110000"
163000	"101000101110110000000000010001001000000010001000100000011110001011111000001111000000000110001"
164000	"101010100110010000010000101000011010000010000000000001010000100001010001001011000100101010010"
165000	"111011110110100000000001000000011000100010001000000010011000001011011001000111100000000010001"
166000	"111010101110110000000101010000101000110010001000000000011000001011001000001011010001001110001"
167000	"111000101110011000000000011001011000100110001000000000011110001010011000010111100000001011011"
168000	"111010111110111000000000011000111100100010000000100000011001001011101101000111000000001010001"
169000	"111011101110101000000000011001011000000010100000000010011000001111101000000110000000000010001"
170000	"111010100010011000000101000100011000000010000100000010011110011011101000100011101000010100100"
171000	"111011111110100000000001010001011000110000000000000000011100001111101001100111000000001011101"
172000	"111011000010101000000010011001011000100001001000101010010000011100101001100100100000000110001"
173000	"111011101110000000000000110001011000100011101000001000011100011101111001000011000001000110001"
174000	"111110101110011000000000010000011001100000001000011010011000011110001100000111100010010110001"
175000	"111011101110110000000000010000001010100010001000000010010000001010100011001010100001001110001"
176000	"111100100010001000001001010001011000100000101000001100010000011010110100000111101010010010100"
177000	"111010111110000000100000010000011000000010000000000010011000101011110000110111100000000110001"
178000	"111010101110111000000000010001011000100010001000000010010000001011111010001111100000000110001"
179000	"111010101110011010000000010000011000100010000000000010011000001011101000101111100000000110001"
180000	"111010101110110000000000010000011000100010001001100010011000000110111000001111100000000010001"
181000	"111010101110110000000001010001011000010010001000000010010000001110111000001111000001000110001"
